locationKey,state,femaRegion,region,designatedArea,fipsStateCode,fipsCountyCode,placeCode
990,NC,Region 4,4,Washington (County),37,187,99187
991,NC,Region 4,4,Wayne (County),37,191,99191
992,NC,Region 4,4,Wilson (County),37,195,99195
993,FL,Region 4,4,Highlands (County),12,55,99055
994,FL,Region 4,4,Osceola (County),12,97,99097
995,FL,Region 4,4,Brevard (County),12,9,99009
996,FL,Region 4,4,Broward (County),12,11,99011
997,FL,Region 4,4,Glades (County),12,43,99043
998,FL,Region 4,4,Hendry (County),12,51,99051
999,ME,Region 1,1,Franklin (County),23,7,99007
1000,ME,Region 1,1,Kennebec (County),23,11,99011
